Text,Sentiment
"có bao nhiêu phương thức xét tuyển",1
"hình thức xét tuyển",1
"để vào được ngành này thì phải thi hay xét học bạ",1
"có bao nhiêu hình thức xét tuyển",1
"phương thức xét tuyển",1
"thi đầu vào như thế nào",1
"đăng ký thi như thế nào",1
"làm sao để được học ngành này",1
"làm sao để được học ngành khoa học máy tính",1
"ngành khoa học máy tính xét tuyển ra sao",1
"ngành này tuyển sinh ra sao",1
"ngành này tuyển sinh như thế nào",1
"phải thi hay xét học bạ",1
"điều kiện xét tuyển",1
"điều kiện xét tuyển là gì",1
"điều kiện xét tuyển thì như thế nào",1
"điều kiện xét tuyển ra sao",1
"đăng ký thi như thế nào",1
"làm sao để được học ngành này",1
"ngành này xét tuyển như thế nào",1
"phương thức 1 là gì",1
"phương thức 1 ra sao",1
"phương thức 1 như thế nào",1
"làm sao để được ưu tiên tuyển thẳng",1
"ưu tiên xét tuyển là sao",1
"ưu tiên xét tuyển cần điều kiện gì",1
"những đối tượng được ưu tiên xét tuyển",1
"những người nào được ưu tiên xét tuyển",1
"những ai được ưu tiên xét tuyển",1
"đối tượng nào được ưu tiên xét tuyển",1
"phải làm gì mới được ưu tiên xét tuyển",1
"điều kiện để được ưu tiên xét tuyển",1
"phương thức 2 là gì",1
"phương thức 2 như thế nào",1
"phương thức 2 ra sao",1
"xét điểm kỳ thi tốt nghiệp như thế nào",1
"xét điểm thi tốt nghiệp rồi có cần thi đại học nữa không",1
"xét điểm thi tốt nghiệp là sao",1
"xét điểm thi tốt nghiệp trung học phổ thông là sao",1
"điều kiện để xét điểm tốt nghiệp",1
"điều kiện để được xét điểm tốt nghiệp",1
"Mình xét điểm 12 được không",1
"Nếu năm nay xét học bạ có thể là bao nhiêu điểm",1
"có xét tuyển học bạ không",1
"xét học bạ cần điều khiên gì",1
"điều kiện học bạ như thế nào thì trúng tuyển",1
"phương thức 3 là gì",1
"phương thức 3 như thế nào",1
"phương thức 3 ra sao",1
"xét điểm học bạ trung học phổ thông là sao",1
"xét điểm học bạ là như thế nào",1
"xét điểm học bạ là xét mấy năm",1
"điều kiện để được xét học bạ",1
"phương thức 6 cần điều kiện gì",1
"phương thức 6 là như thế nào",1
"phương thức 6 là gì",1
"xét thẳng mà bồi dưỡng kiến thức là sao",1
"bồi dưỡng kiến thức là gì",1
"xét thẳng và học bồi dưỡng kiến thức cần điều kiện gì",1
"đối tượng nào mới được xét tuyển theo phương thức 6",1
"những ai được xét tuyển thẳng và học bồi dưỡng",1
"học bồi dưỡng kiến thức là học cái gì",1
"học bồi dưỡng kiến thức là học như thế nào",1
"học bồi dưỡng kiến thức là học ra sao",1
"ai mới được xét tuyển thẳng",1
"xét tuyển thẳng cần điều kiện gì",1
"làm sao để được xét tuyển thẳng",1
"tuyển thẳng là sao",1
"làm sao để được tuyển thẳng",1
"làm thế nào để được tuyển thẳng",1
"làm sao để được tuyển thẳng",1
"làm gì để không phải thi mà được tuyển thẳng",1
"tuyển thẳng bằng cách nào",1
"tuyển thẳng như thế nào",1
"bằng cách nào để được tuyển thẳng",1
"nếu không thi có được tuyển thẳng không",1
"tỉ lệ chọi",2
"tỷ lệ cạnh tranh vào trường cao hay thấp",2
"chỉ tiêu ngành thế nào",2
"tỷ lệ chọi là bao nhiêu",2
"chỉ tiêu năm trước là bao nhiêu",2
"chỉ tiêu năm nay là bao nhiêu",2
"ngành này năm nay lấy chỉ tiêu bao nhiêu",2
"chỉ tiêu của ngành này năm nay là bao nhiêu",2
"tỷ lệ chọi của ngành này năm nay là cao hay thấp",2
"tỷ lệ cạnh tranh vào ngành này năm nay có cao không",2
"chỉ tiêu của ngành này năm nay là bao nhiêu",2
"năm nay lấy chỉ tiêu có thấp không",2
"ngành này yêu cầu điểm sàn và điểm chuẩn cao không",2
"điểm sàn để vào được ngành này là bao nhiêu",2
"điểm trung bình bao nhiêu là đậu",2
"điểm sàn",2
"điểm đầu vào năm trước là bao nhiêu",2
"điểm đầu vào có cao không",2
"điểm chuẩn là bao nhiêu",2
"tổ hơp xét tuyển cho ngành này là gì",2
"cần thi những khối nào",2
"gồm những khối thi nào",2
"khối C và khối D có xét tuyển ngành này không",2
"khối thi của ngành này là gì",2
"ngành này thi những khối nào",2
"ngành này thi những môn nào",2
"ngành khoa học máy tính thi những môn nào",2
"ngành ứng dụng được những lĩnh vực nào",2
"đã có những ứng dụng kỹ thuật nào nổi trội",2
"học xong có thể có những kỹ năng nào",2
"Ngành đó đào tạo về những kĩ năng gì",2
"ngành đào tạo những gì",2
"Ngành khoa học máy tính là gì",2
"khoa học máy tính được chia làm mấy mảng",2
"Ngành này học về cái gì",2
"Ngành này học về nội dung gì",2
"Ngành này học những gì",2
"khi học thì sẽ được học những gì",4
"Khi học thì được học những gì",4
"Chương trình có bao nhiêu phần cần tìm hiểu",4
"Có những chuyên ngành nào",4
"Phương thức học ra sao",4
"Học về chuyên môn nào",4
"chương trình đào tạo thì như thế nào",4
"ngành khoa học máy tính dạy những môn gì",4
"những môn học của ngành này là gì",4
"ngành này học những môn nào",4
"chương trình học thì như thế nào",4
"chương trình đại cương bao gồm những gì",4
"học đại cương là học những môn nào",4
"có bao nhiêu tín chỉ học đại cương",4
"bao nhiêu môn học đại cương",4
"chương trình đại cương bao gồm những môn nào",4
"những môn học nào là chương trình đại cương",4
"khối kiến thức đại cương có những môn gì",4
"môn học đại cương",4
"chương trình đại cuong bao gồm những môn học nào",4
"danh sách những môn học thuộc chương trình đại cương",4
"những môn cơ sở ngành là gì",4
"khối kiến thức cơ sở ngành học những môn gì",4
"những môn nào là môn cơ sở ngành",4
"môn cơ sở ngành",4
"những môn học nào thuộc khối kiến thức cơ sở ngành",4
"cơ sở ngành có những môn học nào",4
"cơ sở ngành thì học những môn gì",4
"có những môn nào trong khối kiến thức cơ sở ngành",4
"những môn học liên quan đến cơ sở ngành là như thế nào",4
"có bao nhiêu môn học trong cơ sở ngành",4
"môn chuyên ngành",4
"chuyên ngành học cái gì",4
"chuyên ngành học những môn nào",4
"những môn nào là chuyên ngành",4
"vào chuyên ngành thì được học cái gì",4
"chuyên ngành có bao nhiêu môn",4
"vô chuyên ngành thì học những môn gì",4
"môn học thuộc chuyên ngành của ngành khoa học máy tính là gì",4
"ngành khoa học máy tính có những môn chuyên ngành nào",4
"ngành này học những chuyên môn gì",4
"có tất cả bao nhiêu môn học chuyên ngành",4
"kỹ năng sau khi ra trường",4
"sau khi ra trường có thể có được những kỹ năng gì",4
"sau khi ra trường sẽ học được những kỹ năng gì",4
"kỹ năng có được khi học ngành này là gì",4
"học xong thì có được kỹ năng gì",4
"em sẽ có được kỹ năng gì khi học xong",4
"những kỹ năng mà em có được khi ra trường là gì",4
"học ngành khoa học máy tính xong thì em có thể làm được gì",4
"kỹ năng mà em có được khi học ngành này là gì",4
"ngành này dạy nhũng kỹ năng gì",4
"học ngành này mấy năm",4
"học ngành này trong bao lâu",4
"học ngành này trong bao nhiêu năm",4
"Học khoảng thời gian bao lâu",4
"Thời gian cần để hoàn thành được việc đào tạo",4
"Học bao nhiêu học kỳ",4
"năm có bao nhiêu học kỳ",4
"Học mấy năm",4
"Nếu học đại học thì khoảng mấy năm",4
"một năm có bao nhiêu học kỳ",4
"học bao nhiêu học kỳ",4
"học kỳ ở đại học có giống với lúc học phổ thông không",4
"một năm học có hai học kỳ phải không",4
"một năm học có mấy học kỳ",4
"học phí",4
"chi phí học là bao nhiêu",4
"Tiền học",4
"Học phí của ngành là bao nhiêu",4
"Học phí ra sao",4
"chương trình đào tạo bao nhiêu năm",4
"Chi phí đào tạo như thế nào",4
"mức học phí của ngành này có cao không",4
"có được nghỉ hè không",4
"hè có được nghỉ không",4
"nghỉ hè được bao lâu",4
"học suốt luôn hay có được nghỉ không",4
"em muốn học thêm hè thì có được không",4
"một năm học có bao gồm học kỳ hè không",4
"hè có có bắt buộc học không hay được nghỉ",4
"học đại học có học kỳ hè không",4
"nếu hè thì có được nghỉ không",4
"nếu hè có học mà em nghỉ thì có sao không",4
"học đại học có được nghỉ hè như lúc học phổ thông không",4
"học ngành này có được nghỉ hè không",4
"chương trình đào tạo có quá khó không",4
"chương trình học có khó không",4
"ngành này có khó học không",4
"ngành tốn thời gian học đúng không",4
"có yêu cầu kỹ năng giao tiếp không",4
"có khó không để học được ngành",4
"ngành này có dễ học không",4
"học ngành khoa học máy tính có đơn giản không",4
"chương trình học như thế này thì có khó quá để học không",4
"ngành ra trường làm việc gì",5
"ra trường có thể làm gì",5
"ngành đó sau này ra trường làm gì",5
"cơ hội việc làm hay không",5
"sau khi tốt nghiệp có giữ lại trường làm việc không",5
"Nếu em học xong thời gian học thì em có được học lên nữa hông",5
"ngành này có đào tạo thạc sĩ không",5
"học xong đại học rồi có được học tiếp không",5
"cơ hội việc làm",5
"ra trường rồi có được hỗ trợ việc làm không",5
"trường có giới thiệu việc làm không",5
"sau khi kết thúc khóa học cơ hội việc làm có dễ không",5
"học ngành IT dễ xin việc làm không",5
"Ra trường có dễ xin việc làm không",5
"Khi học xong có dễ xin việc không",5
"Sau khi hoàn thành việc học thì cơ hội tìm được việc làm có cao không",5
"Cơ hội nghề nghiệp của sinh viên học ngành này sau khi ra trường là bao nhiêu",5
"cơ hội tìm việc làm",5
"học xong trường có giới thiệu việc làm không",5
"ngành ra trường làm việc gì",5
"ra trường có thể làm gì",5
"ngành đó sau này ra trường làm gì",5
"ngành này cơ hội việc làm sau khi ra trường ổn không ạ",5
"sau khi ra trường có thể làm những việc gì ạ",5
"những vị trí việc làm khi ra trường",5
"chuẩn đầu ra có được đảm nảo không",5
"ra trường sẽ làm những gì",5
"công việc thế nào",5
"ra trường làm ở đâu",5
"ra trường làm được nghề gì",5
"Khi ra trường sẽ làm nghề gì",5
"Sau này ra trường làm nghề gì",5
"ngành Khoa học máy tính sau khi tốt nghiệp có thể làm việc với những vị trí như thế nào",5
"xin việc làm được vào những nơi nào",5
"Làm ở đâu",5
"Những khu vực nào",5
"những nơi nào có nhu cầu cao về nhân lực đối với ngành này",5
"ra trường làm ở chỗ nào",5
"có thể làm việc ở đâu",5
"làm chỗ nào",5
"làm văn phòng hay ngoài công trường",5
"nơi làm việc",5
"nơi làm việc là ở đâu",5
"con số thống kê sinh viên ra trường là bao nhiêu",5
"tỷ lệ ra trường là bao nhiêu",5
"tỷ lệ tốt nghiệp ra trường là bao nhiêu",5
"mức độ sinh viên tốt nghiệp là bao nhiêu",5
"ngành khoa học máy tính có tỷ lệ sinh viên hoàn thành khóa học là bao nhiêu",5
"mức độ sinh viên ra trường có cao không",5
"tỷ lệ sinh viên tốt nghiệp có cao không",5
"có con số cụ thể nào cho việc sinh viên tốt nghiệp không",5
"số lượng sinh viên tốt nghiệp là bao nhiêu",5
"chuẩn đầu ra có được đảm bảo không",5
"tỷ lệ có việc làm là bao nhiêu",5
"mức độ sinh viên có việc làm sau khi ra trường",5
"sinh viên sau khi ra trường thì tỷ lệ có việc làm là bao nhiêu",5
"số lượng sinh viên có việc làm sau khi tốt nghiệp",5
"tỷ lệ có việc làm sau khi tốt nghiệp là bao nhiêu",5
"tỷ lệ việc làm sau khi ra trường có ổn định không",5
"cơ hội kiếm được việc làm sau khi ra trường là bao nhiêu",5
"sau khi tốt nghiệp thì cơ hội kiếm được việc làm có cao không",5
"ra trường rồi thì tỷ lệ kiếm được việc làm có cao không",5
"cường độ làm việc khi làm công việc này",5
"thời gian làm việc trong ngày là bao lâu",5
"mức độ thời gian làm việc đối với ngành này",5
"thời gian làm việc trong ngày là bao nhiêu",5
"thời gian làm việc có nhiều quá không",5
"có cơ hội đi tham quan mấy công ty hay nhiều chỗ khác không",5
"khi học em có được đến những công ty hay chỗ làm thực tế không",5
"học ngành này có được đi thực tập không",5
"em muốn khi học được tiếp xúc thực tế với công việc thì phải làm sao",5
"khi học ngành này em có được đi đến mấy công ty để thực tập không",5
"những thuận lợi của sinh viên ngành khoa học máy tính khi tìm việc",5
"khi em học ngành này thì có được ưu tiên gì trong lúc tìm việc làm không",5
"sinh viên ngành này thì có ưu thế gì khi đi xin việc",5
"em có thuận lợi gì lúc đi xin việc không khi học ngành này",5
"những thuận lợi nào lúc đi xin việc khi em học ngành này",5
"em sẽ có lợi thế gì lúc đi xin việc nếu em học ngành khoa học máy tính",5
"ngành này có lương hưu không",5
"sau này em ra trường đi làm lúc về già có được lãnh lương hưu không",5
"ngành khoa học máy tính có lương hưu không",5
"nếu đi làm lâu thì lúc nghỉ có được lương hưu không",5
"ngành này lương hưu có cao không",5
"lương hưu của ngành này tầm bao nhiêu",5
"điều kiện thăng tiến là gì",5
"làm sao để được thăng tiến lên cấp cao hơn khi đi làm",5
"điều kiện nào để được thăng tiến cấp bậc trong ngành",5
"làm lâu thì có được lên chức không",5
"muốn được thăng cấp trong ngành này thì cần kinh nghiệm gì",5
"kinh nghiệm để thăng tiến là gì",5
"làm sao để được lên chức nhanh trong công việc",5
"điều kiện để lên chức là gì",5
"muốn được thăng tiến nhanh trong ngành thì phải làm sao",5
"để lên chức thì có cần điều kiện hay kinh nghiệm gì không",5
"trường có ký túc xá không",6
"trường có hỗ trợ chỗ ở không",6
"ký túc xá trường như thế nào",6
"ký túc xá trường ra sao",6
"ký túc xá giá cả ra sao",6
"trường có hỗ trợ ký túc xá không",6
"ký túc xá của trường có lớn không",6
"ra trường làm việc lương bao nhiêu",6
"Mức lương ra trường sao với các ngành khác",6
"tiền lương ngành này có ok không",6
"mức thu nhập bao nhiêu",6
"tỷ lệ thấp nghiệp của ngành có cao hay không",6
"tỷ lệ việc làm có cao không",6
"Mức lương cơ bản khi ra trường",6
"Vừa ra trường thì lương cơ bản là bao nhiêu",6
"Mức lương trung bình có thể nhận được khi làm ngành này là bao nhiêu",6
"Lương trung bình của sinh viên sau khi ra trường",6
"lương khỏi điểm đa số của ngành khi học xong",6
"tỉ lệ có việc làm đúng ngành nghề sau khi ra trường là bao nhiêu",6
"nếu học xong muốn xin học bổng làm như thế nào",6
"nếu học xong muốn xin học bổng du học làm như thế nào",6
"có được nhận học bổng không",6
"làm cách nào để được nhận học bổng",6
"trường có phát học bổng không",6
"học giỏi có được học bổng không",6
"điều kiện nào để được nhận học bổng",6
"nhà em nghèo quá có được nhận học bổng không",6
"em muốn nhận học bổng thì cần điều kiện gì",6
"em học giỏi và muốn được nhận học bổng thì phải làm sao",6
"nếu em không biết gì về máy tính thì có thi được không",9
"em không giỏi về tiếng anh và sử dụng máy tính cũng không tốt lắm thì có thi được không",9
"có yêu cầu kiến thức nền tảng về máy tính trước không",9
"nếu em không biết gì về máy tính có thi được không",9
"có được luyện lại từ đầu để lấy căn bản không hay học tới tới luôn",9
"có yêu cầu kiến thức nền tảng về máy tính trước không",9
"khi học ngành máy tính em cần những kĩ năng gì",9
"ngành đòi hỏi tố chất gì",9
"ngành này con gái học ổn không",9
"em là nữ thì có học được không",9
"là nữ thì học ngành này có được không",9
"tỷ lệ nam và nữ của ngành là bao nhiêu",9
"em không phải là nam thì có được học ngành không",9
"số lượng nam so với nữ trong ngành này",9
"ngành này con gái học có nhiều không",9
"học ngành này có bắt buộc phải là con trai không",9
"nếu em không phải là con trai thì có học được ngành không",9
"em là nữ thì có khó khăn gì khi học ngành này không",9
"có cần phải có máy tính mới có thể học được các ngành",9
"em không có máy tính thì có thể học được ngành này không",9
"nhà em không có điều kiện mua máy tính thì có học được không",9
"có bắt buộc phải có máy tính mới được học ngành này không",9
"không có máy tính thì học bằng cách nào",9
"máy tính có cần thiết không để được học ngành này",9
"em không có laptop mà có máy tính bàn thì có học được không",9
"em có máy tính bàn thì có cần mua thêm laptop để đi học không",9
"ngành khoa học máy tính sau này có bị lạc hậu không",9
"mức độ hot của ngành khoa học máy tính",9
"ngành này thời gian sắp tới có bị lỗi thời không",9
"bây giờ em học thì lúc ra trường có bị lỗi thời không",9
"sau khoảng vài năm nữa thì ngành này có bị lạc hậu không",9
"ngành này theo thời gian có bị lỗi thời không",9
"bây giờ thì ngành đang hot nhưng nếu lúc em ra trường thì có còn hot nữa không",9
"có bị lạc hậu không khi học ngành này",9
"có phù hợp ở môi trường nông thôn không",9
"em ở tỉnh lẻ thì có học được ngành này không",9
"nhà em ở ngoại ô thì có phù hợp với ngành không",9
"ngành này có thể làm việc ở nông thôn không",9
"công việc có phù hợp để làm ở ngoài tỉnh không",9
"khi học ngành đó có được ưu tiên gì không ",9
"học ngành này thì được những lợi thế nào",9
"những lợi thế khi học ngành này",9
"ưu tiên khi được học ngành khoa học máy tính",9
"lợi thế có được khi học ngành này là gì",9
"khi học ngành này thì em có được lợi thế gì không",9
"ưu tiên của em là gì khi học ngành này",9
"em có cơ hội tiếp xúc với nhiều cái công nghệ mới không",9
"em có được tiếp cận với những công nghệ mới không khi học ngành này",9
"môi trường học tập có khô khan không",9
"chương trình học có quá nhàm chán không",9
"em nghe nói ngành này học chuyên về toán vậy lúc học có quá khôn khan không",9
"môi trường học chỉ có lập trình thì có nhàm chán quá không",9
"ngành này học có khô khan quá không",9
"giữa ngành công nghệ thông tin và khoa học máy tính thì ngành nào có tỉ lệ việc làm cao hơn",9
"nếu so sánh ngành công nghệ thông tin và khoa học máy tính thì ngành nào dễ xin việc hơn",9
"tỷ lệ có việc làm của ngành này so với những ngành khác thì như thế nào",9
"nếu so sánh ngành này với những ngành khác thì tỷ lệ có việc làm là bao nhiêu",9
"so sánh giữa ngành này và những ngành khác thì tỷ lệ có việc làm có cao không",9
"tỷ lệ có việc làm của ngành này có cao hơn những ngành khác không",9
"ngành này có học cao đẳng không",9
"ngành này có đào tạo trình độ cao đẳng không",9
"em không đủ điểm học ngành này bậc đại học vậy ngành này có đào tạo cao đẳng không",9
"ngành này học cao đẳng có học được không",9
"cao đẳng có học được ngành khoa học máy tính không",9
"ngoài đại học ra thì ngành khoa học máy tính có đào tạo hệ cao đẳng không",9
"ngành này có đào tạo cao đẳng không",9
"liệu các em học sinh nữ có khó khăn gì khi theo học ngành này không",9
"em là nữ thì học ngành này có gặp khó khăn gì không",9
"những khó khăn trong học tập khi là con gái",9
"là nữ thì sẽ gặp những khó khăn nào khi học ngành này",9
"em là con gái thì học ngành này có gặp bất lợi gì không",9
"những bất lợi trong học tập khi là nữ",9
"nếu là con gái thì sẽ gặp những bất lợi gì khi học ngành này",9
"giới tính nữ thì sẽ gặp khó khăn gì khi học",9
"những khó khăn thường gặp trong quá trình học tập",9